timestamp_ns,satellite_id,pseudorange_ideal_m,pseudorange_m,sigma_pseudorange_m,los_N_x,los_N_y,los_N_z,geometry_visible,measurement_available,noise_m
0,SAT01,2699.320040426259,2699.272094217566,0.5,0.3711933122014636,0.7431297541570844,0.5567528118144877,true,true,-0.04794620869288979
0,SAT02,2353.3585464228145,2353.4766171090723,0.5,-0.5127310683644629,0.3842281111806966,0.7677731501637386,true,true,0.11807068625777545
100000000,SAT01,2699.322040426259,2699.559669408331,0.5,0.3711933122014636,0.7431297541570844,0.5567528118144877,true,true,0.23762898207213096
100000000,SAT02,2353.3605464228144,2352.8320134324927,0.5,-0.5127310683644629,0.3842281111806966,0.7677731501637386,true,true,-0.5285329903218954
200000000,SAT01,2699.3240404262588,2699.2233522813526,0.5,0.3711933122014636,0.7431297541570844,0.5567528118144877,true,true,-0.10068814490609161
200000000,SAT02,2353.3625464228144,2353.2390072245903,0.5,-0.5127310683644629,0.3842281111806966,0.7677731501637386,true,true,-0.12353919822390998
300000000,SAT01,2699.3260404262587,2699.041438524849,0.5,0.3711933122014636,0.7431297541570844,0.5567528118144877,true,true,-0.28460190140949754
300000000,SAT02,2353.3645464228143,2353.4581624756065,0.5,-0.5127310683644629,0.3842281111806966,0.7677731501637386,true,true,0.09361605279220131
400000000,SAT01,2699.3280404262587,2699.2625355420714,0.5,0.3711933122014636,0.7431297541570844,0.5567528118144877,true,true,-0.06550488418725775
400000000,SAT02,2353.3665464228143,2353.629838036517,0.5,-0.5127310683644629,0.3842281111806966,0.7677731501637386,true,true,0.2632916137028845
500000000,SAT01,2699.330040426259,2699.8921453489006,0.5,0.3711933122014636,0.7431297541570844,0.5567528118144877,true,true,0.5621049226413923
500000000,SAT02,2353.3685464228147,2353.332245087185,0.5,-0.5127310683644629,0.3842281111806966,0.7677731501637386,true,true,-0.036301335629451544
600000000,SAT01,2699.332040426259,2698.950314998536,0.5,0.3711933122014636,0.7431297541570844,0.5567528118144877,true,true,-0.3817254277226178
600000000,SAT02,2353.3705464228146,2353.4886423524463,0.5,-0.5127310683644629,0.3842281111806966,0.7677731501637386,true,true,0.11809592963165809
700000000,SAT01,2699.334040426259,2699.1777365074695,0.5,0.3711933122014636,0.7431297541570844,0.5567528118144877,true,true,-0.15630391878929795
700000000,SAT02,2353.3725464228146,2353.1923204624095,0.5,-0.5127310683644629,0.3842281111806966,0.7677731501637386,true,true,-0.180225960404949
